YR,YR_AVG_LIGHT_CORRECTED_DN,YR_SPLASHZONE_CT,YR_SURFZONE_CT
1992,11.99378794,1,0
1993,12.6567531,1,0
1994,15.81054785,1,4
1995,18.27694297,4,7
1996,15.91130404,5,2
1997,17.4013463,7,5
1998,17.56697236,0,7
1999,17.396513,4,3
2000,16.75303417,11,2
2001,16.30712785,7,16
2002,16.88375719,7,10
2003,18.08259038,7,14
2004,17.93776551,1,0
2005,20.30268392,4,5
2006,19.50255681,5,4
2007,19.08996636,6,10
2008,19.62011885,8,15
2009,18.78659277,2,6
2010,17.46099863,1,2
2011,17.20925658,1,3
2012,16.14583426,2,6
2013,17.29502472,5,3