YR,MO,MO_AVG_RAD_NW_CM2_SR,MO_SPLASHZONE_CT,MO_SURFZONE_CT
2012,1,3.99901758,0,0
2012,2,3.768193785,0,0
2012,3,4.106525148,0,3
2012,4,4.174098976,0,0
2012,5,3.928773288,0,0
2012,6,4.095850287,0,1
2012,7,3.75248836,0,0
2012,8,3.490578087,0,0
2012,9,3.444143905,2,1
2012,10,3.763267895,0,1
2012,11,3.798236339,0,0
2012,12,3.989595554,0,0
2013,1,3.644392506,0,0
2013,2,3.916589038,0,0
2013,3,3.76708254,0,0
2013,4,3.779689536,0,1
2013,5,3.7238841,1,0
2013,6,3.376120033,0,0
2013,7,3.53862092,0,0
2013,8,3.443225491,1,0
2013,9,3.605016243,3,2
2013,10,3.564811464,0,0
2013,11,3.903583681,0,0
2013,12,3.926826871,0,0
2014,1,3.211860396,0,0
2014,2,3.953420516,0,0
2014,3,3.962995832,0,0
2014,4,3.896425166,1,2
2014,5,3.830700208,0,1
2014,6,3.555581402,0,0
2014,7,3.496468773,0,1
2014,8,3.406270069,1,0
2014,9,3.228706056,0,1
2014,10,3.636234864,0,2
2014,11,3.761599347,0,0
2014,12,4.013550423,0,0
2015,1,3.530824113,0,0
2015,2,3.707151962,0,0
2015,3,3.718562317,0,0
2015,4,3.506709315,0,0
2015,5,3.653834412,1,1
2015,6,3.604925451,0,0
2015,7,3.475282369,0,1
2015,8,3.292049338,0,0
2015,9,3.722039162,0,1
2015,10,3.509986788,0,1
2015,11,3.724194847,0,0
2015,12,3.63468895,0,0
2016,1,3.731328841,0,0
2016,2,3.705083673,0,0
2016,3,3.720941732,0,0
2016,4,3.54463036,0,1
2016,5,3.606762779,0,0
2016,6,3.559704767,0,0
2016,7,3.625056235,0,1
2016,8,3.272257007,0,2
2016,9,3.526344052,0,3
2016,10,3.519531508,0,2
2016,11,3.733626255,0,0
2016,12,3.786159812,0,1
2017,1,3.813124354,0,0
2017,2,3.962412575,0,0
2017,3,3.885588119,0,1
2017,4,3.951309661,1,1
2017,5,3.877239571,0,0
2017,6,3.626220449,0,1
2017,7,3.52709214,0,0
2017,8,3.569115192,0,0
2017,9,3.426077483,0,3
2017,10,3.56690467,0,0
2017,11,3.69681401,0,0
2017,12,3.909214188,0,0
2018,1,4.074104815,0,0
2018,2,4.021778528,0,0
2018,3,3.815603269,0,0
2018,4,3.85642292,0,0
2018,5,3.819926147,1,0
2018,6,3.718467189,0,0
2018,7,3.430256072,0,1
2018,8,3.492998351,0,0
2018,9,3.47607371,0,1
2018,10,3.763239661,0,1
2018,11,3.647293465,0,0
2018,12,3.902867843,0,0
2019,1,3.836535367,0,0
2019,2,3.584297041,0,0
2019,3,4.024295324,0,0
2019,4,3.85849102,0,0
2019,5,3.823230388,0,0
2019,6,3.932356725,0,1
2019,7,3.616951405,1,1
2019,8,3.553099158,2,3
2019,9,3.5795552,0,0
2019,10,3.631084684,0,1
2019,11,3.849165241,0,0
2019,12,3.858515021,0,0
2020,1,3.783444643,0,0
2020,2,3.769209783,0,0
2020,3,4.090891412,0,2
2020,4,3.740575286,0,0
2020,5,3.727470239,0,0
2020,6,3.851080067,0,0
2020,7,3.686393224,0,1
2020,8,3.507594174,2,0
2020,9,3.500635256,1,1
2020,10,3.58790254,0,0
2020,11,3.611924701,0,0
2020,12,4.106541491,0,0
2021,1,3.631002268,0,0
2021,2,3.840861912,0,0
2021,3,3.924020354,0,0
2021,4,3.955374561,0,1
2021,5,4.017392421,1,0
2021,6,3.841367816,1,0
2021,7,3.695328379,2,1
2021,8,3.875796565,0,1
2021,9,3.882211618,0,1
2021,10,3.806371627,0,0
2021,11,3.946089759,0,0
2021,12,4.318601104,0,0
2022,1,4.062883038,0,0
2022,2,4.441306774,0,0
2022,3,4.215064657,0,2
2022,4,4.369056451,0,0
2022,5,4.257689947,0,0
2022,6,4.271366134,0,0
2022,7,4.307317289,1,1
2022,8,4.021169282,0,0
2022,9,4.143475781,0,0
2022,10,4.119743033,0,0
2022,11,4.099195259,0,0
2022,12,4.677753154,0,0
2023,1,4.411138146,0,0
2023,2,4.61742046,0,0
2023,3,4.584333432,0,0
2023,4,4.541600197,0,0
2023,5,4.491281631,0,0
2023,6,4.607997905,0,0
2023,7,4.412806045,0,1
2023,8,4.397664351,0,0
2023,9,4.394112263,0,1
2023,10,4.461895232,0,0
2023,11,4.499731289,0,0
2023,12,4.783859251,0,0
2024,1,4.519865982,0,0
2024,2,4.544823356,0,0
2024,3,4.627448477,0,0
2024,4,4.648617722,0,0
2024,5,4.294510162,0,0
2024,6,4.281111896,0,0
2024,7,4.147225758,2,0
2024,8,4.491356339,0,0
2024,9,4.148853602,0,0
2024,10,4.598788523,0,0
2024,11,4.582620077,0,0
2024,12,5.038833853,0,0